Open,High,Low,Close,Volume,Dividends,Stock Splits
146.88,146.91,146.87,146.88,65636,0.0,0.0
146.88,146.94,146.85,146.92,59822,0.0,0.0
146.93,147.02,146.92,146.96,92435,0.0,0.0
146.96,146.98,146.91,146.94,51281,0.0,0.0
146.93,146.99,146.93,146.96,37397,0.0,0.0
146.96,147.05,146.96,147.04,73426,0.0,0.0
147.05,147.07,146.99,146.99,55287,0.0,0.0
146.99,147.07,146.99,147.05,42776,0.0,0.0
147.05,147.1,147.04,147.08,53701,0.0,0.0
147.07,147.1,147.02,147.06,42102,0.0,0.0
147.06,147.08,147.01,147.07,44343,0.0,0.0
147.08,147.09,147.01,147.02,41356,0.0,0.0
147.01,147.04,146.99,146.99,65293,0.0,0.0
146.99,147.04,146.97,146.99,67116,0.0,0.0
147.0,147.0,146.97,146.99,39224,0.0,0.0
146.99,147.05,146.98,146.98,40651,0.0,0.0
146.98,147.02,146.93,147.01,50402,0.0,0.0
147.01,147.04,147.01,147.04,31952,0.0,0.0
147.04,147.07,146.99,147.01,39539,0.0,0.0
147.01,147.07,146.99,147.05,35161,0.0,0.0
147.05,147.07,146.96,146.99,53704,0.0,0.0
146.98,147.04,146.98,147.02,44318,0.0,0.0
147.01,147.01,146.92,146.94,70216,0.0,0.0
146.93,146.99,146.91,146.98,47093,0.0,0.0
146.98,146.98,146.91,146.92,31985,0.0,0.0
146.92,146.98,146.91,146.96,46474,0.0,0.0
146.96,146.97,146.92,146.93,30031,0.0,0.0
146.92,146.93,146.81,146.83,119049,0.0,0.0
146.81,146.91,146.81,146.85,64191,0.0,0.0
146.85,146.88,146.83,146.86,48441,0.0,0.0
146.85,146.89,146.81,146.81,66598,0.0,0.0
146.82,146.84,146.71,146.76,130373,0.0,0.0
146.75,146.78,146.72,146.77,53377,0.0,0.0
146.76,146.76,146.71,146.74,46725,0.0,0.0
146.74,146.75,146.66,146.68,42966,0.0,0.0
146.68,146.73,146.67,146.71,42998,0.0,0.0
146.71,146.8,146.64,146.8,74169,0.0,0.0
146.79,146.83,146.71,146.73,35805,0.0,0.0
146.73,146.81,146.7,146.8,40117,0.0,0.0
146.8,146.87,146.79,146.86,47664,0.0,0.0
146.86,146.92,146.83,146.91,48168,0.0,0.0
146.92,146.96,146.91,146.93,43881,0.0,0.0
146.92,146.96,146.91,146.96,50492,0.0,0.0
146.95,146.99,146.95,146.99,37259,0.0,0.0
146.97,146.98,146.94,146.95,38665,0.0,0.0
146.95,146.98,146.94,146.96,37784,0.0,0.0
146.96,147.04,146.95,147.02,56302,0.0,0.0
147.01,147.14,147.01,147.09,85037,0.0,0.0
147.1,147.11,147.07,147.1,41433,0.0,0.0
147.1,147.13,147.08,147.11,41167,0.0,0.0
147.12,147.12,147.01,147.08,52365,0.0,0.0
147.07,147.11,147.03,147.05,57352,0.0,0.0
147.06,147.18,147.06,147.15,114344,0.0,0.0
147.16,147.17,147.06,147.1,64221,0.0,0.0
147.1,147.18,147.1,147.15,63779,0.0,0.0
147.15,147.23,147.12,147.12,72921,0.0,0.0
147.12,147.17,147.06,147.07,52847,0.0,0.0
147.08,147.18,147.06,147.16,52579,0.0,0.0
147.17,147.21,147.15,147.19,45143,0.0,0.0
147.2,147.21,147.12,147.13,38972,0.0,0.0
147.13,147.19,147.08,147.13,68012,0.0,0.0
147.13,147.18,147.1,147.16,49991,0.0,0.0
147.17,147.19,147.1,147.19,61178,0.0,0.0
147.19,147.24,147.16,147.23,70018,0.0,0.0
147.24,147.24,147.17,147.2,51496,0.0,0.0
147.19,147.23,147.17,147.17,45412,0.0,0.0
147.17,147.18,147.12,147.18,53371,0.0,0.0
147.19,147.23,147.16,147.22,58970,0.0,0.0
147.21,147.22,147.09,147.1,60962,0.0,0.0
147.09,147.12,147.07,147.1,33024,0.0,0.0
147.11,147.17,147.09,147.12,44819,0.0,0.0
147.11,147.12,147.05,147.07,58486,0.0,0.0
147.07,147.12,147.07,147.1,56452,0.0,0.0
147.1,147.19,147.1,147.17,63071,0.0,0.0
147.18,147.23,147.17,147.21,83863,0.0,0.0
147.21,147.24,147.15,147.18,44144,0.0,0.0
147.18,147.2,147.11,147.12,54306,0.0,0.0
147.12,147.13,147.05,147.06,70206,0.0,0.0
147.05,147.1,147.04,147.04,43415,0.0,0.0
147.05,147.06,147.01,147.04,55683,0.0,0.0
147.05,147.12,147.02,147.08,74122,0.0,0.0
147.07,147.09,147.03,147.03,50101,0.0,0.0
147.02,147.08,147.01,147.06,66841,0.0,0.0
147.06,147.06,147.0,147.02,52635,0.0,0.0
147.01,147.13,147.0,147.1,90973,0.0,0.0
147.11,147.12,147.0,147.01,58380,0.0,0.0
147.01,147.05,146.98,147.02,76773,0.0,0.0
147.02,147.11,146.99,147.09,89313,0.0,0.0
147.09,147.09,146.9,146.9,70611,0.0,0.0
146.91,146.96,146.88,146.88,97809,0.0,0.0
146.89,146.92,146.83,146.89,91495,0.0,0.0
146.9,146.96,146.87,146.96,91066,0.0,0.0
146.96,146.96,146.85,146.88,90422,0.0,0.0
146.88,146.92,146.85,146.88,55434,0.0,0.0
146.88,146.89,146.78,146.82,119398,0.0,0.0
146.81,146.85,146.79,146.8,54592,0.0,0.0
146.79,146.8,146.69,146.7,84811,0.0,0.0
146.7,146.85,146.69,146.82,117104,0.0,0.0
146.82,146.97,146.8,146.95,167923,0.0,0.0
146.95,146.99,146.88,146.9,123520,0.0,0.0
146.9,146.98,146.83,146.93,121179,0.0,0.0
146.93,146.97,146.83,146.85,117499,0.0,0.0
146.84,146.85,146.68,146.72,109382,0.0,0.0
146.71,146.86,146.71,146.82,116088,0.0,0.0
